kind,routeKey,floor,geometryId,pointsBefore,pointsAfter,pointsRemoved,turnsBefore,turnsAfter,turnsRemoved,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter
floorNav,内科门诊|||S2|||fromElevator,2楼,G0091,29,7,22,2,2,0,46.711844,46.711844,20.375,20.375
floorNav,内科门诊|||S2|||toElevator,2楼,G0091,29,7,22,2,2,0,46.711844,46.711844,20.375,20.375
floorNav,内科门诊|||S3|||fromElevator,2楼,G0092,31,7,24,2,2,0,45.287045,45.287045,20.394,20.394
floorNav,内科门诊|||S3|||toElevator,2楼,G0092,31,7,24,2,2,0,45.287045,45.287045,20.394,20.394
floorNav,内科门诊|||S6|||fromElevator,2楼,G0095,12,11,1,1,1,0,48.584304,48.584304,21.0,21.0
floorNav,内科门诊|||S6|||toElevator,2楼,G0095,12,11,1,1,1,0,48.584304,48.584304,21.0,21.0
floorNav,外科门诊|||S4|||fromElevator,2楼,G0099,7,5,2,0,0,0,27.659265,27.659265,20.378,20.378
floorNav,外科门诊|||S4|||toElevator,2楼,G0099,7,5,2,0,0,0,27.659265,27.659265,20.378,20.378
floorNav,外科门诊|||S5|||fromElevator,2楼,G0100,7,5,2,0,0,0,28.427272,28.427272,20.591,20.591
floorNav,外科门诊|||S5|||toElevator,2楼,G0100,7,5,2,0,0,0,28.427272,28.427272,20.591,20.591
floorNav,外科门诊|||S6|||fromElevator,2楼,G0101,16,5,11,0,0,0,36.68086,36.68086,21.0,21.0
floorNav,外科门诊|||S6|||toElevator,2楼,G0101,16,5,11,0,0,0,36.68086,36.68086,21.0,21.0
floorNav,多功能科|||S1|||fromElevator,2楼,G0102,8,5,3,1,1,0,16.171146,16.171146,20.375,20.375
floorNav,多功能科|||S1|||toElevator,2楼,G0102,8,5,3,1,1,0,16.171146,16.171146,20.375,20.375
floorNav,多功能科|||S4|||fromElevator,2楼,G0105,37,9,28,3,3,0,51.56718,51.56718,20.375,20.375
floorNav,多功能科|||S4|||toElevator,2楼,G0105,37,9,28,3,3,0,51.56718,51.56718,20.375,20.375
floorNav,多功能科|||S5|||fromElevator,2楼,G0106,39,10,29,2,2,0,53.074474,53.074474,20.197,20.197
floorNav,多功能科|||S5|||toElevator,2楼,G0106,39,10,29,2,2,0,53.074474,53.074474,20.197,20.197
floorNav,多功能科|||S6|||fromElevator,2楼,G0107,27,14,13,2,2,0,91.544581,91.544581,20.375,20.375
floorNav,多功能科|||S6|||toElevator,2楼,G0107,27,14,13,2,2,0,91.544581,91.544581,20.375,20.375
floorNav,妇科门诊|||S6|||fromElevator,2楼,G0113,19,8,11,0,0,0,30.697604,30.697604,20.375,20.375
floorNav,妇科门诊|||S6|||toElevator,2楼,G0113,19,8,11,0,0,0,30.697604,30.697604,20.375,20.375
floorNav,急诊科办公区|||S4|||fromElevator,2楼,G0117,32,11,21,2,2,0,33.315049,33.315049,20.375,20.375
floorNav,急诊科办公区|||S4|||toElevator,2楼,G0117,32,11,21,2,2,0,33.315049,33.315049,20.375,20.375
floorNav,急诊科办公区|||S5|||fromElevator,2楼,G0118,29,9,20,2,2,0,34.768535,34.768535,20.772,20.772
floorNav,急诊科办公区|||S5|||toElevator,2楼,G0118,29,9,20,2,2,0,34.768535,34.768535,20.772,20.772
floorNav,急诊科办公区|||S6|||fromElevator,2楼,G0119,20,16,4,1,1,0,73.316351,73.316351,20.375,20.375
floorNav,急诊科办公区|||S6|||toElevator,2楼,G0119,20,16,4,1,1,0,73.316351,73.316351,20.375,20.375
floorNav,检验科|||S4|||fromElevator,2楼,G0123,32,11,21,2,2,0,31.021992,31.021992,20.375,20.375
floorNav,检验科|||S4|||toElevator,2楼,G0123,32,11,21,2,2,0,31.021992,31.021992,20.375,20.375
floorNav,检验科|||S5|||fromElevator,2楼,G0124,29,9,20,2,2,0,32.475477,32.475477,21.0,21.0
floorNav,检验科|||S5|||toElevator,2楼,G0124,29,9,20,2,2,0,32.475477,32.475477,21.0,21.0
